Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,22.950001,23.129999,22.90,22.98,634900,22.98
2016-06-30,22.65,23.00,22.629999,22.969999,937600,22.969999
2016-06-29,22.35,22.469999,22.35,22.450001,733000,22.450001
2016-06-28,22.059999,22.190001,21.93,22.15,1181800,22.15
2016-06-27,21.74,21.75,21.299999,21.52,995500,21.52
2016-06-24,22.08,22.549999,22.08,22.16,1690100,22.16
2016-06-23,22.870001,23.15,22.790001,23.09,1138900,23.09
2016-06-22,22.870001,22.93,22.67,22.690001,675500,22.690001
2016-06-21,22.190001,22.280001,22.02,22.219999,1160300,22.219999
2016-06-20,22.07,22.25,22.00,22.02,814100,22.02
2016-06-17,21.809999,21.85,21.629999,21.74,709000,21.74
2016-06-16,21.799999,21.99,21.530001,21.98,510800,21.98
2016-06-15,22.16,22.33,22.110001,22.129999,1162000,22.129999
2016-06-14,21.620001,21.629999,21.389999,21.50,681700,21.50
2016-06-13,21.709999,21.809999,21.620001,21.65,964500,21.65
2016-06-10,22.27,22.40,22.26,22.34,932000,22.34
2016-06-09,22.48,22.559999,22.450001,22.540001,395500,22.540001
2016-06-08,22.799999,22.799999,22.65,22.66,210200,22.66
2016-06-07,22.629999,22.870001,22.629999,22.799999,427900,22.799999
2016-06-06,22.32,22.60,22.32,22.540001,1174300,22.540001
2016-06-03,21.860001,22.129999,21.860001,22.08,1187700,22.08
2016-06-02,21.870001,21.969999,21.77,21.92,566400,21.92
2016-06-01,21.950001,21.98,21.82,21.90,993900,21.90
2016-05-31,22.00,22.379999,21.99,22.299999,1525800,22.299999
2016-05-27,21.809999,22.110001,21.799999,22.00,887900,22.00
2016-05-26,21.200001,21.219999,21.08,21.129999,970700,21.129999
2016-05-25,20.99,21.299999,20.99,21.25,884600,21.25
2016-05-24,20.620001,21.040001,20.620001,20.98,531200,20.98
2016-05-23,20.309999,20.58,20.309999,20.50,298800,20.50
2016-05-20,20.200001,20.50,20.200001,20.42,576600,20.42
2016-05-19,20.120001,20.17,19.959999,20.00,770700,20.00
2016-05-18,20.67,20.700001,19.98,20.25,2430400,20.25
2016-05-17,20.719999,20.85,20.709999,20.799999,842300,20.739
2016-05-16,20.40,20.700001,20.33,20.67,654100,20.609382
2016-05-13,19.93,20.00,19.709999,19.809999,445100,19.751903
2016-05-12,19.85,20.040001,19.76,19.809999,307500,19.751903
2016-05-11,20.00,20.16,19.959999,20.08,354700,20.021112
2016-05-10,19.959999,20.139999,19.93,20.120001,443100,20.060996
2016-05-09,20.08,20.08,19.75,19.75,513700,19.69208
2016-05-06,19.66,19.879999,19.629999,19.870001,153600,19.811729
2016-05-05,19.77,19.82,19.540001,19.610001,373300,19.552491
2016-05-04,19.65,19.719999,19.549999,19.59,518800,19.532549
2016-05-03,19.76,19.959999,19.709999,19.74,561500,19.682109
2016-05-02,20.379999,20.42,20.209999,20.360001,433700,20.300291
2016-04-29,20.58,20.58,20.16,20.299999,367200,20.240466
2016-04-28,20.530001,20.82,20.530001,20.60,251900,20.539587
2016-04-27,20.530001,20.610001,20.440001,20.610001,238200,20.549558
2016-04-26,20.790001,20.799999,20.690001,20.77,367500,20.709089
2016-04-25,20.469999,20.68,20.440001,20.469999,524800,20.409968
2016-04-22,20.700001,20.99,20.700001,20.82,175100,20.758942
2016-04-21,20.82,21.07,20.75,20.799999,290700,20.739
2016-04-20,21.030001,21.18,20.799999,21.08,920600,21.018179
2016-04-19,21.309999,21.41,21.26,21.389999,319900,21.32727
2016-04-18,21.370001,21.549999,21.309999,21.52,481500,21.456889
2016-04-15,21.17,21.23,21.10,21.17,220800,21.107916
2016-04-14,21.33,21.379999,21.15,21.299999,373500,21.237533
2016-04-13,21.15,21.41,21.15,21.370001,593200,21.30733
2016-04-12,20.620001,20.84,20.48,20.77,421600,20.709089
2016-04-11,20.700001,20.719999,20.48,20.52,312800,20.459822
2016-04-08,20.50,20.780001,20.50,20.52,347100,20.459822
2016-04-07,20.790001,20.790001,20.51,20.620001,450600,20.559529
2016-04-06,20.360001,20.67,20.299999,20.67,771400,20.609382
2016-04-05,20.07,20.219999,19.98,19.99,556000,19.931376
2016-04-04,20.549999,20.66,20.469999,20.48,611200,20.419939
2016-04-01,20.34,20.60,20.17,20.559999,215100,20.499704
2016-03-31,20.32,20.469999,20.32,20.440001,1428700,20.380057
2016-03-30,20.639999,20.639999,20.32,20.450001,871900,20.390028
2016-03-29,20.299999,20.57,20.129999,20.559999,260300,20.499704
2016-03-28,20.200001,20.58,20.200001,20.57,424300,20.509675
2016-03-24,20.50,20.50,20.200001,20.290001,389400,20.230497
2016-03-23,20.450001,20.610001,20.43,20.530001,1062800,20.469793
2016-03-22,20.60,20.610001,20.370001,20.58,929500,20.519646
2016-03-21,20.52,20.549999,20.370001,20.370001,1293300,20.310262
2016-03-18,20.42,20.66,20.370001,20.52,999900,20.459822
2016-03-17,19.67,20.40,19.67,20.360001,822200,20.300291
2016-03-16,19.440001,19.65,19.27,19.57,656300,19.512607
2016-03-15,19.530001,19.530001,19.309999,19.440001,306400,19.382989
2016-03-14,19.309999,19.73,19.309999,19.690001,360700,19.632256
2016-03-11,19.00,19.290001,18.85,19.290001,524500,19.23343
2016-03-10,18.700001,18.98,18.40,18.66,508800,18.605276
2016-03-09,18.709999,18.719999,18.60,18.65,520700,18.595305
2016-03-08,18.85,18.85,18.60,18.639999,205800,18.585334
2016-03-07,18.719999,18.99,18.52,18.889999,404700,18.834601
2016-03-04,19.110001,19.26,18.950001,19.219999,546600,19.163633
2016-03-03,18.91,19.129999,18.90,19.08,319700,19.024045
2016-03-02,19.00,19.120001,18.92,19.120001,328000,19.063928
2016-03-01,18.57,19.129999,18.549999,19.07,1201300,19.014074
2016-02-29,18.299999,18.440001,18.200001,18.35,256500,18.296186
2016-02-26,18.32,18.40,18.200001,18.33,379600,18.276244
2016-02-25,17.85,18.08,17.809999,18.030001,866100,17.977125
2016-02-24,18.00,18.09,17.65,18.09,308100,18.036948
2016-02-23,18.24,18.25,18.00,18.01,712100,17.957183
2016-02-22,18.459999,18.469999,18.10,18.459999,591800,18.405862
2016-02-19,18.040001,18.200001,18.030001,18.10,248600,18.046919
2016-02-18,18.200001,18.370001,18.129999,18.129999,1982200,18.07683
2016-02-17,17.99,18.190001,17.93,18.129999,910800,18.07683
2016-02-16,17.889999,18.00,17.66,17.879999,421400,17.827563
2016-02-12,17.379999,17.379999,17.120001,17.35,984600,17.299119
2016-02-11,17.10,17.24,16.959999,17.24,1006100,17.189441
2016-02-10,17.50,17.639999,17.41,17.49,974800,17.438707
2016-02-09,17.32,17.65,17.17,17.26,1118800,17.209382
2016-02-08,17.879999,18.00,17.450001,17.58,650700,17.528444
2016-02-05,18.43,18.43,18.00,18.040001,1177200,17.987096
2016-02-04,18.200001,18.42,18.08,18.209999,1341000,18.156595
2016-02-03,18.10,18.26,17.85,18.26,1978200,18.20645
2016-02-02,18.610001,18.610001,18.40,18.40,917100,18.346039
2016-02-01,18.65,18.799999,18.60,18.780001,597400,18.724925
2016-01-29,18.60,18.75,18.50,18.74,455600,18.685042
2016-01-28,18.16,18.360001,18.15,18.280001,664800,18.226392
2016-01-27,18.059999,18.219999,17.90,18.02,391900,17.967154
2016-01-26,18.139999,18.629999,18.139999,18.540001,360800,18.485629
2016-01-25,18.43,18.50,18.27,18.299999,1064400,18.246331
2016-01-22,17.950001,18.120001,17.950001,18.120001,938800,18.066861
2016-01-21,17.190001,17.51,17.15,17.32,364000,17.269206
2016-01-20,17.18,17.309999,16.76,17.200001,647800,17.149559
2016-01-19,17.99,18.059999,17.549999,17.709999,906100,17.658062
2016-01-15,17.18,17.25,16.940001,17.09,433800,17.039881
2016-01-14,17.360001,17.66,17.25,17.59,784700,17.538415
2016-01-13,17.75,17.940001,17.23,17.24,1863300,17.189441
2016-01-12,17.65,17.82,17.59,17.75,403400,17.697945
2016-01-11,17.76,17.98,17.610001,17.709999,496200,17.658062
2016-01-08,18.33,18.33,17.959999,17.969999,1168100,17.917299
2016-01-07,18.049999,18.200001,17.91,17.91,548200,17.857476
2016-01-06,18.639999,18.709999,18.530001,18.66,333400,18.605276
2016-01-05,19.09,19.23,18.940001,19.08,170300,19.024045
2016-01-04,19.129999,19.26,18.93,19.129999,469100,19.073897
